cityLabel,population,countryCode,country
Chongqing,32054159,CN,http://www.wikidata.org/entity/Q148
Delhi,26495000,IN,http://www.wikidata.org/entity/Q668
Shanghai,24870895,CN,http://www.wikidata.org/entity/Q148
Greater Mexico City,21905000,MX,http://www.wikidata.org/entity/Q96
Beijing,21893095,CN,http://www.wikidata.org/entity/Q148
Chengdu,20937757,CN,http://www.wikidata.org/entity/Q148
New York metropolitan area,19940274,US,http://www.wikidata.org/entity/Q30
Guangzhou,18676605,CN,http://www.wikidata.org/entity/Q148
Shenzhen,17494398,CN,http://www.wikidata.org/entity/Q148
Dhaka,16800000,BD,http://www.wikidata.org/entity/Q902
Istanbul,15655924,TR,http://www.wikidata.org/entity/Q43
Mumbai,15414288,IN,http://www.wikidata.org/entity/Q668
Lagos,15070000,NG,http://www.wikidata.org/entity/Q1033
Karachi,14910352,PK,http://www.wikidata.org/entity/Q843
Kinshasa,14565700,CD,http://www.wikidata.org/entity/Q974
Tokyo,14264798,JP,http://www.wikidata.org/entity/Q17
Ho Chi Minh City,14002598,VN,http://www.wikidata.org/entity/Q881
Metro Manila,14001751,PH,http://www.wikidata.org/entity/Q928
Greater Buenos Aires,13985794,AR,http://www.wikidata.org/entity/Q414
Tianjin,13866009,CN,http://www.wikidata.org/entity/Q148
Moscow,13274285,RU,http://www.wikidata.org/entity/Q159
Xi'an,12952907,CN,http://www.wikidata.org/entity/Q148
Suzhou,12748262,CN,http://www.wikidata.org/entity/Q148
Zhengzhou,12600574,CN,http://www.wikidata.org/entity/Q148
Bengaluru,12327000,IN,http://www.wikidata.org/entity/Q668
Wuhan,12326518,CN,http://www.wikidata.org/entity/Q148
Hangzhou,11936010,CN,http://www.wikidata.org/entity/Q148
Greater Rio de Janeiro,11900000,BR,http://www.wikidata.org/entity/Q155
Baoding,11544036,CN,http://www.wikidata.org/entity/Q148
São Paulo,11451999,BR,http://www.wikidata.org/entity/Q155
Jakarta,11135191,ID,http://www.wikidata.org/entity/Q252
Lahore,11126285,PK,http://www.wikidata.org/entity/Q843
Linyi,11018365,CN,http://www.wikidata.org/entity/Q148
Shijiazhuang,10640458,CN,http://www.wikidata.org/entity/Q148
Dongguan,10466625,CN,http://www.wikidata.org/entity/Q148
Zhengzhou,10136000,CN,http://www.wikidata.org/entity/Q148
Qingdao,10071722,CN,http://www.wikidata.org/entity/Q148
Changsha,10047914,CN,http://www.wikidata.org/entity/Q148
Harbin,10009854,CN,http://www.wikidata.org/entity/Q148
Lima,9943800,PE,http://www.wikidata.org/entity/Q419
Cairo,9801536,EG,http://www.wikidata.org/entity/Q79
Nanyang,9713112,CN,http://www.wikidata.org/entity/Q148
Seoul,9668465,KR,http://www.wikidata.org/entity/Q884
Tokyo,9640742,JP,http://www.wikidata.org/entity/Q17
Wenzhou,9572903,CN,http://www.wikidata.org/entity/Q148
Foshan,9498863,CN,http://www.wikidata.org/entity/Q148
Handan,9413990,CN,http://www.wikidata.org/entity/Q148
Ningbo,9404283,CN,http://www.wikidata.org/entity/Q148
Weifang,9386705,CN,http://www.wikidata.org/entity/Q148
Hefei,9369881,CN,http://www.wikidata.org/entity/Q148
Nanjing,9314685,CN,http://www.wikidata.org/entity/Q148
Mexico City,9209944,MX,http://www.wikidata.org/entity/Q96
Jinan,9202432,CN,http://www.wikidata.org/entity/Q148
Hyderabad,9191000,IN,http://www.wikidata.org/entity/Q668
Xuzhou,9083790,CN,http://www.wikidata.org/entity/Q148
Shenyang,9070093,CN,http://www.wikidata.org/entity/Q148
Changchun,9066906,CN,http://www.wikidata.org/entity/Q148
Zhoukou,9026015,CN,http://www.wikidata.org/entity/Q148
Kuala Lumpur,9000280,MY,http://www.wikidata.org/entity/Q833
Ganzhou,8970014,CN,http://www.wikidata.org/entity/Q148
New York City,8804190,US,http://www.wikidata.org/entity/Q30
London,8799728,GB,http://www.wikidata.org/entity/Q145
