countryCode,currencyLabel,hdi,neighborCode,country
AD,euro,0.884,ES,http://www.wikidata.org/entity/Q228
AD,euro,0.884,FR,http://www.wikidata.org/entity/Q228
AE,United Arab Emirates dirham,0.911,IR,http://www.wikidata.org/entity/Q878
AE,United Arab Emirates dirham,0.911,OM,http://www.wikidata.org/entity/Q878
AE,United Arab Emirates dirham,0.911,SA,http://www.wikidata.org/entity/Q878
AF,afghani,0.478,CN,http://www.wikidata.org/entity/Q889
AF,afghani,0.478,UZ,http://www.wikidata.org/entity/Q889
AF,afghani,0.478,IR,http://www.wikidata.org/entity/Q889
AF,afghani,0.478,PK,http://www.wikidata.org/entity/Q889
AF,afghani,0.478,TJ,http://www.wikidata.org/entity/Q889
AF,afghani,0.478,TM,http://www.wikidata.org/entity/Q889
AG,Eastern Caribbean dollar,0.851,GB,http://www.wikidata.org/entity/Q781
AL,Albanian lek,0.796,GR,http://www.wikidata.org/entity/Q222
AL,Albanian lek,0.796,MK,http://www.wikidata.org/entity/Q222
AL,Albanian lek,0.796,ME,http://www.wikidata.org/entity/Q222
AL,Albanian lek,0.796,RS,http://www.wikidata.org/entity/Q222
AL,Albanian lek,0.796,XK,http://www.wikidata.org/entity/Q222
AM,Armenian dram,0.759,TR,http://www.wikidata.org/entity/Q399
AM,Armenian dram,0.759,AZ,http://www.wikidata.org/entity/Q399
AM,Armenian dram,0.759,GE,http://www.wikidata.org/entity/Q399
AM,Armenian dram,0.759,IR,http://www.wikidata.org/entity/Q399
AO,kwanza,0.586,ZM,http://www.wikidata.org/entity/Q916
AO,kwanza,0.586,CG,http://www.wikidata.org/entity/Q916
AO,kwanza,0.586,CD,http://www.wikidata.org/entity/Q916
AO,kwanza,0.586,GA,http://www.wikidata.org/entity/Q916
AO,kwanza,0.586,NA,http://www.wikidata.org/entity/Q916
AR,Argentine convertible peso,0.842,UY,http://www.wikidata.org/entity/Q414
AR,Argentine convertible peso,0.842,GB,http://www.wikidata.org/entity/Q414
AR,Argentine convertible peso,0.842,BR,http://www.wikidata.org/entity/Q414
AR,Argentine convertible peso,0.842,CL,http://www.wikidata.org/entity/Q414
AR,Argentine convertible peso,0.842,PY,http://www.wikidata.org/entity/Q414
AR,Argentine convertible peso,0.842,BO,http://www.wikidata.org/entity/Q414
AT,euro,0.916,HU,http://www.wikidata.org/entity/Q40
AT,euro,0.916,IT,http://www.wikidata.org/entity/Q40
AT,euro,0.916,CH,http://www.wikidata.org/entity/Q40
AT,euro,0.916,DE,http://www.wikidata.org/entity/Q40
AT,euro,0.916,CZ,http://www.wikidata.org/entity/Q40
AT,euro,0.916,SK,http://www.wikidata.org/entity/Q40
AT,euro,0.916,SI,http://www.wikidata.org/entity/Q40
AT,euro,0.916,LI,http://www.wikidata.org/entity/Q40
AU,Australian dollar,0.951,ID,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,TL,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,NZ,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,SB,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,VU,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,PG,http://www.wikidata.org/entity/Q408
AU,Australian dollar,0.951,NC,http://www.wikidata.org/entity/Q408
AW,Aruban florin,,,http://www.wikidata.org/entity/Q21203
AZ,Azerbaijani manat,0.745,TR,http://www.wikidata.org/entity/Q227
AZ,Azerbaijani manat,0.745,RU,http://www.wikidata.org/entity/Q227
AZ,Azerbaijani manat,0.745,GE,http://www.wikidata.org/entity/Q227
AZ,Azerbaijani manat,0.745,AM,http://www.wikidata.org/entity/Q227
AZ,Azerbaijani manat,0.745,IR,http://www.wikidata.org/entity/Q227
BA,convertible mark,0.78,HR,http://www.wikidata.org/entity/Q225
BA,convertible mark,0.78,ME,http://www.wikidata.org/entity/Q225
BA,convertible mark,0.78,RS,http://www.wikidata.org/entity/Q225
BB,Barbadian dollar,0.79,,http://www.wikidata.org/entity/Q244
BD,Bangladeshi taka,0.661,IN,http://www.wikidata.org/entity/Q902
BD,Bangladeshi taka,0.661,MM,http://www.wikidata.org/entity/Q902
BE,euro,0.937,LU,http://www.wikidata.org/entity/Q31
BE,euro,0.937,FR,http://www.wikidata.org/entity/Q31
BE,euro,0.937,DE,http://www.wikidata.org/entity/Q31
BF,West African CFA franc,0.449,GH,http://www.wikidata.org/entity/Q965
BF,West African CFA franc,0.449,ML,http://www.wikidata.org/entity/Q965
BF,West African CFA franc,0.449,TG,http://www.wikidata.org/entity/Q965
BF,West African CFA franc,0.449,BJ,http://www.wikidata.org/entity/Q965
BF,West African CFA franc,0.449,CI,http://www.wikidata.org/entity/Q965
BF,West African CFA franc,0.449,NE,http://www.wikidata.org/entity/Q965
BG,euro,0.799,GR,http://www.wikidata.org/entity/Q219
BG,euro,0.799,TR,http://www.wikidata.org/entity/Q219
BG,euro,0.799,RO,http://www.wikidata.org/entity/Q219
BG,euro,0.799,MK,http://www.wikidata.org/entity/Q219
BG,euro,0.799,RS,http://www.wikidata.org/entity/Q219
BH,Bahraini dinar,0.875,IR,http://www.wikidata.org/entity/Q398
BH,Bahraini dinar,0.875,SA,http://www.wikidata.org/entity/Q398
BI,Burundian franc,0.426,TZ,http://www.wikidata.org/entity/Q967
BI,Burundian franc,0.426,CD,http://www.wikidata.org/entity/Q967
BI,Burundian franc,0.426,RW,http://www.wikidata.org/entity/Q967
BJ,West African CFA franc,0.525,TG,http://www.wikidata.org/entity/Q962
BJ,West African CFA franc,0.525,BF,http://www.wikidata.org/entity/Q962
BJ,West African CFA franc,0.525,NE,http://www.wikidata.org/entity/Q962
BJ,West African CFA franc,0.525,NG,http://www.wikidata.org/entity/Q962
BN,Brunei dollar,0.829,MY,http://www.wikidata.org/entity/Q921
BO,boliviano,0.692,BR,http://www.wikidata.org/entity/Q750
BO,boliviano,0.692,CL,http://www.wikidata.org/entity/Q750
BO,boliviano,0.692,AR,http://www.wikidata.org/entity/Q750
BO,boliviano,0.692,PE,http://www.wikidata.org/entity/Q750
BO,boliviano,0.692,PY,http://www.wikidata.org/entity/Q750
BR,Brazilian real,0.754,UY,http://www.wikidata.org/entity/Q155
BR,Brazilian real,0.754,FR,http://www.wikidata.org/entity/Q155
BR,Brazilian real,0.754,AR,http://www.wikidata.org/entity/Q155
BR,Brazilian real,0.754,PE,http://www.wikidata.org/entity/Q155
