country,name,continent,area,population,gdp,capitalLabel,tld,flag
http://www.wikidata.org/entity/Q889,Afghanistan,Asia,652230.0,41454761,2.0497128555E10,Kabul,http://www.wikidata.org/entity/Q37407,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Taliban.svg
http://www.wikidata.org/entity/Q222,Albania,Europe,28748.0,2811655,2.354717983E10,Tirana,http://www.wikidata.org/entity/Q38291,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania.svg
http://www.wikidata.org/entity/Q262,Algeria,Africa,2381741.0,46164219,1.91912889421E11,Algiers,http://www.wikidata.org/entity/Q41039,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Algeria.svg
http://www.wikidata.org/entity/Q228,Andorra,Europe,468.0,87486,3.352032737E9,Andorra la Vella,http://www.wikidata.org/entity/Q36552,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Andorra.svg
http://www.wikidata.org/entity/Q916,Angola,Africa,1246700.0,36749906,1.35966802586E11,Luanda,http://www.wikidata.org/entity/Q39006,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Angola.svg
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,North America,440.29,101489,1.757603704E9,St. John's,http://www.wikidata.org/entity/Q37539,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Antigua%20and%20Barbuda.svg
http://www.wikidata.org/entity/Q414,Argentina,South America,2780400.0,47327407,6.46075277525E11,Buenos Aires,http://www.wikidata.org/entity/Q38300,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Argentina.svg
http://www.wikidata.org/entity/Q399,Armenia,Asia,29743.423459,2930450,2.4085749592E10,Yerevan,http://www.wikidata.org/entity/Q37245,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Armenia.svg
http://www.wikidata.org/entity/Q21203,Aruba,North America,178.916378,106739,3.126019385E9,Oranjestad,http://www.wikidata.org/entity/Q41442,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Aruba.svg
http://www.wikidata.org/entity/Q408,Australia,Oceania,7692024.0,27614411,1.757022451653E12,Canberra,http://www.wikidata.org/entity/Q37420,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Australia%20%28converted%29.svg
http://www.wikidata.org/entity/Q40,Austria,Europe,83878.99,8979894,5.11685203845E11,Vienna,http://www.wikidata.org/entity/Q37715,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg
http://www.wikidata.org/entity/Q227,Azerbaijan,Asia,86600.0,10180770,7.8807470588E10,Baku,http://www.wikidata.org/entity/Q38414,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Azerbaijan.svg
http://www.wikidata.org/entity/Q398,Bahrain,Asia,786.5,1569666,4.4390820479E10,Manama,http://www.wikidata.org/entity/Q39993,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bahrain.svg
