Company	Funding	Size	Role Title	Tier	Domain	Location Type	Modality	Workload	LinkedIn URL	Direct Application URL	Hiring Manager	Date Posted	Post Type	Date Applied	Appl Vers	Total	Entry	Senior	Manager	Director	CXO	Others	BSc	MBA	MSc	PhD	Salary Range	Status	Last Update	Response Time (days)	Follow-Up Date	Outcome	Notes
Grünenthal	private	4300	Data Science Platform & Analytics Lead	A+	pharma	germany	hybrid	full	off	https://careers.grunenthal.com/job/Aachen-Data-Science-Platform-&-Analytics-Lead-%28mfd%29/1366166133/	Chanchal Kumar	20.02.26	.	23.02.26	v1	15	.	.	.	.	.	.	.	.	.	15	EUR 110K	process cv	26.02.26	.	.	.	.
AB InBev	public	50000	Senior Data Scientist | BEES Personalization	B-	tech-ml	brazil	remote	full	https://www.linkedin.com/jobs/view/4369537989	https://job-boards.greenhouse.io/abinbev/jobs/7598683002	.	11.02.26	post	24.02.26	v1	88	.	.	.	.	.	.	.	.	.	13	USD 35K–55K	process cv	26.02.26	.	.	.	.
Xometry	public	3000	Senior Data Scientist	B-	tech	brazil	remote	full	https://www.linkedin.com/jobs/view/4076239692	https://job-boards.greenhouse.io/xometry/jobs/4582924007?gh_src=1d451b827us	.	18.02.26	reposted	24.02.26	v1	381	.	.	.	.	.	.	.	.	.	17	USD 60K–75K	process cv	26.02.26	.	.	.	.
Loka	private	300	Data Lead	A-	tech-bio	brazil	remote	full	https://www.linkedin.com/jobs/view/4374725348	https://job-boards.greenhouse.io/lokainc/jobs/5041131007	.	24.02.26	reposted	26.02.26	v1	104	.	.	.	.	.	.	.	.	.	0	USD 75K–90K	process cv	26.02.26	.	.	.	.
Pierre Fabre Laboratories	private (86%)	10000	Senior Data Scientist – Multi-Omics AI & Target Identification	A+	pharma	france	hybrid	full	https://www.linkedin.com/jobs/view/4377274259	https://pierrefabre.wd3.myworkdayjobs.com/en-US/External_Career_Site/job/Haute-Garonne-31/Senior-Data-Scientist---Multi-omics-AI---Target-Identification---CDI_JR112019?source=Linkedin	Agnès Auclair	25.02.26	post	27.02.26	v1	20	.	.	.	.	.	0	5	0	21	74	EUR 75K	process cv	27.02.26	.	.	.	.
Q4			Data Engineer	B-	tech	brazil	remote	full	https://www.linkedin.com/jobs/view/4368616947	https://ats.rippling.com/pt-BR/q4_careers/jobs/512d0860-d681-453e-bda0-ff4dfed3c073	.	28.02.26	reposted	28.02.26	v1	196	57	41	0	1	1	25	46	18	11	0	BRL 320K	process cv	28.02.26	.	.	.	.
PicPay			Analytics Engineer Senior	B+	tech	brazil (CLT)	remote	full	https://www.linkedin.com/jobs/view/4378376738	https://picpay.com/oportunidades-de-emprego-e-carreiras/central-de-vagas/4665221005?gh_jid=4665221005&gh_src=8f3329625us	.	28.02.26	reposted	01.03.26	v1	129	54	43	3	0	0	4	36	31	29	0	BRL 360K	process cv	01.03.26	.	.	.	#LI-CF1
TRM Labs			Senior Data Engineer, Data Product	B-	tech	brazil	remote	full	https://www.linkedin.com/jobs/view/4373186557	https://job-boards.greenhouse.io/trmlabs/jobs/5419439004	.	23.02.26	reposted	01.03.26	v1	39	44	46	0	3	3	52	33	0	15	0	USD 180K	process cv	01.03.26	.	.	.	.
United Hub Digital Solutions			Engenheiro(a) de Dados Sênior | GCP & Inglês Avançado	B-	tech	brazil (CLT)	remote	full	https://www.linkedin.com/jobs/view/4376674136	EasyApply	.	02.03.26	reposted	02.03.26	v1	16	44	55	11	0	0	7	36	21	36	0	BRL 276K	process cv	02.03.26	.	.	.	.
Hospital Albert Einstein			Engenheiro de Dados (Machine Learning - Foco em HPC)	B+	health	brazil (CLT)	remote	full	https://www.linkedin.com/jobs/view/4377262725	https://career8.successfactors.com/career?career_ns=job_listing&company=C0001240283P&navBarLevel=JOB_SEARCH&rcm_site_locale=pt_BR&career_job_req_id=1307577	.	24.02.26	reposted	02.03.26	v1	41	0	43	0	3	0	32	26	19	23	0	BRL 288K	process cv	02.03.26	.	.	.	Applied for 2 Data Engineer Jobs
Lumenalta			Senior Data Engineer	B+	tech	brazil	remote	full	https://www.linkedin.com/jobs/view/4379757300	https://lumenalta.com/my_app	Marcel Coelho	20.02.26	reposted	02.03.26	v1	6	0	100	0	0	0	17	17	33	0	33		process cv	02.03.26	.	.	.	.
Arco Educação			SR Analytics Engineer	B-	education	brazil (CLT)	remote	full	https://www.linkedin.com/jobs/view/4362424682	https://job-boards.greenhouse.io/arcoeducacao/jobs/5763520004	.	01.03.26	reposted	03.03.26	v1	207	45	52	1	1	0	28	27	28	11	0	BRL 240K	process cv	03.03.26	.	.	.	REQ-20251127-003
